"","date","series_id","value","realtime_start","realtime_end"
"1",1980-01-01,"CWSR0000SEMC",74.7,2023-06-14,2023-06-14
"2",1980-02-01,"CWSR0000SEMC",75.6,2023-06-14,2023-06-14
"3",1980-03-01,"CWSR0000SEMC",76.3,2023-06-14,2023-06-14
"4",1980-04-01,"CWSR0000SEMC",77.4,2023-06-14,2023-06-14
"5",1980-05-01,"CWSR0000SEMC",78.2,2023-06-14,2023-06-14
"6",1980-06-01,"CWSR0000SEMC",78.7,2023-06-14,2023-06-14
"7",1980-07-01,"CWSR0000SEMC",79.1,2023-06-14,2023-06-14
"8",1980-08-01,"CWSR0000SEMC",79.6,2023-06-14,2023-06-14
"9",1980-09-01,"CWSR0000SEMC",80.4,2023-06-14,2023-06-14
"10",1980-10-01,"CWSR0000SEMC",81,2023-06-14,2023-06-14
"11",1980-11-01,"CWSR0000SEMC",81.7,2023-06-14,2023-06-14
"12",1980-12-01,"CWSR0000SEMC",82.2,2023-06-14,2023-06-14
"13",1981-01-01,"CWSR0000SEMC",83,2023-06-14,2023-06-14
"14",1981-02-01,"CWSR0000SEMC",83.7,2023-06-14,2023-06-14
"15",1981-03-01,"CWSR0000SEMC",84.5,2023-06-14,2023-06-14
"16",1981-04-01,"CWSR0000SEMC",85.1,2023-06-14,2023-06-14
"17",1981-05-01,"CWSR0000SEMC",85.7,2023-06-14,2023-06-14
"18",1981-06-01,"CWSR0000SEMC",86.2,2023-06-14,2023-06-14
"19",1981-07-01,"CWSR0000SEMC",86.7,2023-06-14,2023-06-14
"20",1981-08-01,"CWSR0000SEMC",87.3,2023-06-14,2023-06-14
"21",1981-09-01,"CWSR0000SEMC",87.9,2023-06-14,2023-06-14
"22",1981-10-01,"CWSR0000SEMC",88.5,2023-06-14,2023-06-14
"23",1981-11-01,"CWSR0000SEMC",89.2,2023-06-14,2023-06-14
"24",1981-12-01,"CWSR0000SEMC",90.1,2023-06-14,2023-06-14
"25",1982-01-01,"CWSR0000SEMC",90.3,2023-06-14,2023-06-14
"26",1982-02-01,"CWSR0000SEMC",90.7,2023-06-14,2023-06-14
"27",1982-03-01,"CWSR0000SEMC",91.1,2023-06-14,2023-06-14
"28",1982-04-01,"CWSR0000SEMC",91.8,2023-06-14,2023-06-14
"29",1982-05-01,"CWSR0000SEMC",92.3,2023-06-14,2023-06-14
"30",1982-06-01,"CWSR0000SEMC",92.9,2023-06-14,2023-06-14
"31",1982-07-01,"CWSR0000SEMC",93.5,2023-06-14,2023-06-14
"32",1982-08-01,"CWSR0000SEMC",94.1,2023-06-14,2023-06-14
"33",1982-09-01,"CWSR0000SEMC",94.6,2023-06-14,2023-06-14
"34",1982-10-01,"CWSR0000SEMC",94.9,2023-06-14,2023-06-14
"35",1982-11-01,"CWSR0000SEMC",95.5,2023-06-14,2023-06-14
"36",1982-12-01,"CWSR0000SEMC",96,2023-06-14,2023-06-14
"37",1983-01-01,"CWSR0000SEMC",96.7,2023-06-14,2023-06-14
"38",1983-02-01,"CWSR0000SEMC",97.3,2023-06-14,2023-06-14
"39",1983-03-01,"CWSR0000SEMC",97.6,2023-06-14,2023-06-14
"40",1983-04-01,"CWSR0000SEMC",98.1,2023-06-14,2023-06-14
"41",1983-05-01,"CWSR0000SEMC",98.8,2023-06-14,2023-06-14
"42",1983-06-01,"CWSR0000SEMC",99.3,2023-06-14,2023-06-14
"43",1983-07-01,"CWSR0000SEMC",100.2,2023-06-14,2023-06-14
"44",1983-08-01,"CWSR0000SEMC",100.8,2023-06-14,2023-06-14
"45",1983-09-01,"CWSR0000SEMC",101.3,2023-06-14,2023-06-14
"46",1983-10-01,"CWSR0000SEMC",102.1,2023-06-14,2023-06-14
"47",1983-11-01,"CWSR0000SEMC",102.7,2023-06-14,2023-06-14
"48",1983-12-01,"CWSR0000SEMC",103.3,2023-06-14,2023-06-14
"49",1984-01-01,"CWSR0000SEMC",104,2023-06-14,2023-06-14
"50",1984-02-01,"CWSR0000SEMC",104.9,2023-06-14,2023-06-14
"51",1984-03-01,"CWSR0000SEMC",105.2,2023-06-14,2023-06-14
"52",1984-04-01,"CWSR0000SEMC",105.7,2023-06-14,2023-06-14
"53",1984-05-01,"CWSR0000SEMC",106.2,2023-06-14,2023-06-14
"54",1984-06-01,"CWSR0000SEMC",106.8,2023-06-14,2023-06-14
"55",1984-07-01,"CWSR0000SEMC",107.2,2023-06-14,2023-06-14
"56",1984-08-01,"CWSR0000SEMC",107.7,2023-06-14,2023-06-14
"57",1984-09-01,"CWSR0000SEMC",108.2,2023-06-14,2023-06-14
"58",1984-10-01,"CWSR0000SEMC",108.8,2023-06-14,2023-06-14
"59",1984-11-01,"CWSR0000SEMC",109.3,2023-06-14,2023-06-14
"60",1984-12-01,"CWSR0000SEMC",109.9,2023-06-14,2023-06-14
"61",1985-01-01,"CWSR0000SEMC",110.4,2023-06-14,2023-06-14
"62",1985-02-01,"CWSR0000SEMC",110.9,2023-06-14,2023-06-14
"63",1985-03-01,"CWSR0000SEMC",111.6,2023-06-14,2023-06-14
"64",1985-04-01,"CWSR0000SEMC",112.1,2023-06-14,2023-06-14
"65",1985-05-01,"CWSR0000SEMC",112.6,2023-06-14,2023-06-14
